Gene	Num.sgRNA	Library.ES	Initial.ES	Final.ES	EnrichmentRatio	pval	qval
AASDHPPT	6	3277.611111	1849.555556	2123.166667	0.199039	0.6721506723965648	0.0398816104661876
AASS	6	2511.055556	876.166667	1452.111111	0.728875	0.5515709051056571	0.0357195503961673
AATF	6	1540.111111	1058.444444	1282.444444	0.276951	0.6333657754010871	0.0384973281739451
AATK	6	2807.555556	2102.944444	3218.166667	0.613828	0.0943349781546852	0.0110351022664456
ABAT	6	1756.500000	2530.888889	2607.388889	0.042962	0.9400150189777716	0.0481389349548554
ABCA1	6	3100.944444	1148.388889	2389.000000	1.056796	0.2793518916593736	0.0236410539893127
ABCA10	6	3525.111111	1341.888889	1212.833333	-0.145884	0.8622657637927745	0.0458632762115349
ABCA12	6	3346.611111	495.555556	1472.500000	1.571149	0.1541484834665278	0.0155403537866224
ABCA13	6	2845.888889	1614.111111	1819.333333	0.172670	0.8489066559718748	0.0454509858116823
ABCA2	6	2249.111111	230.500000	1704.833333	2.886792	0.1447000858058666	0.0149184632393588
ABCA3	6	2735.777778	2047.333333	2398.000000	0.228086	0.7692429888311221	0.0429680302192740
ABCA4	6	1918.388889	2033.000000	3222.055556	0.664371	0.1092183162066200	0.0121614151464898
ABCA5	6	2754.555556	466.277778	417.444444	-0.159605	0.8084249237989940	0.0441726552423070
ABCA6	6	3285.333333	1228.944444	1701.500000	0.469387	0.2362460619556971	0.0212663534180947
ABCA7	6	2181.166667	252.833333	985.055556	1.962018	0.2752946258187601	0.0233761746821448
ABCA8	6	2568.166667	1387.333333	1467.666667	0.081210	0.9122024626342512	0.0473489036299982
ABCA9	6	2866.111111	355.611111	1350.111111	1.924706	0.3107400267690600	0.0253040353786622
ABCB1	6	2145.944444	2867.666667	595.166667	-2.268512	0.0206992778969068	0.0035862354892206
ABCB10	6	3567.333333	2091.222222	1617.444444	-0.370630	0.5873751595979734	0.0369402985074627
ABCB11	6	3017.222222	1780.111111	281.666667	-2.659907	0.0970107141660310	0.0112585222037958
ABCB4	6	3417.333333	1790.666667	3226.944444	0.849672	0.0643472663658107	0.0082964805601622
ABCB5	6	1901.833333	416.388889	1436.500000	1.786555	0.1216692868618172	0.0131518334254653
ABCB6	6	2210.611111	928.833333	2467.500000	1.409558	0.1974100397978452	0.0187949143173024
